time,lat_90_60,lat_60_30,lat_30_0,lat_0_-30,lat_-30_-60,lat_-60_-90
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1874,,,,,,
1875,,,,,,23.42577798
1876,,,,,,23.12747219
1877,,,,,,22.93052805
1878,,,,,,23.05898728
1879,,,,,,23.0544391
1880,,,,,,23.21778156
1881,,,,,,23.32768556
1882,,,,,,23.38994398
1883,,,,,,23.26798342
1884,,,,,,23.50842745
1885,,,,,,23.57098161
1886,,,,,,23.63079111
1887,,,,,,23.7085083
1888,,,,,,23.77166583
1889,,,,,,23.86932556
1890,,,,,,23.84049377
1891,,,,,,23.90968938
1892,,,,,,24.08398382
1893,,,,,,24.20716311
1894,,,,,,24.29165889
1895,,,,,,24.53159146
1896,,,,,,24.8213473
1897,,,,,,25.12329697
1898,,,,,,25.02687176
1899,,,,,,25.20498442
1900,,,,,,25.13868986
1901,,,,,,25.09040124
1902,,,,,,25.07358177
1903,,,,,,24.78260021
1904,,,,,,25.11543571
1905,,,,,,24.752315
1906,,,,,,24.54287619
1907,,,,,,24.32343288
1908,,,,,,24.01987708
1909,,,,,,23.66773042
1910,,,,,,23.27346523
1911,,,,,,22.96867477
1912,,,,,,22.41938737
1913,,,,,,22.24658546
1914,,,,,,21.87362855
1915,,,,,,21.70526655
1916,,,,,,21.54216675
1917,,,,,,21.17973718
1918,,,,,,21.21051714
1919,,,,,,20.86149426
1920,,,,,,20.6448205
1921,,,,,,20.58957577
1922,,,,,,20.53446616
1923,,,,,,20.14443223
1924,,,,,,20.00370453
1925,,,,,,19.78174744
1926,,,,,,19.6623339
1927,,,,,,19.72437851
1928,,,,,,20.26648175
1929,,,,,,20.38436581
1930,,,,,,20.65223131
1931,,,,,,20.21098027
1932,,,,,,20.28428396
1933,,,,,,20.45679021
1934,,,,,,20.7840441
1935,,,,,,21.13474825
1936,,,,,,21.42901547
1937,,,,,,21.54518799
1938,,,,,,21.66224266
1939,,,,,,21.4928081
1940,,,,,,21.9431057
1941,,,,,,22.04424176
1942,,,,,,22.24877548
1943,,,,,,22.27082124
1944,,,,,,22.10803645
1945,,,,,,22.03451222
1946,,,,,,22.31881643
1947,,,,,,22.58619093
1948,,,,,,22.66660364
1949,,,,,,22.6493875
1950,27.4953217,,,,,23.14556662
1951,27.52428143,,,,,23.36371605
1952,27.21490574,,,,,22.97889706
1953,26.49610577,,,,,22.71283123
1954,26.72799788,,,,,23.07741845
1955,26.52180818,,,,,22.92809988
1956,26.56838615,,,,,22.95437623
1957,26.64747547,,,,,22.72503155
1958,26.9540001,,,,,22.45989972
1959,27.05464935,,,,,22.82277538
1960,27.1680181,,,,,22.12108801
1961,26.78928487,,,,,22.20789183
1962,27.29765392,,,,,21.73312969
1963,27.40673491,,,,,21.59583004
1964,27.25634057,,,,,21.44312766
1965,27.51203068,,,,,21.17621404
1966,26.90138762,,,,,20.82681876
1967,27.23627813,,,,,20.56745494
1968,26.86641735,,,,,20.44665783
1969,26.34946744,,,,,20.12117937
1970,25.31509941,,,,,20.32914449
1971,24.26558069,,,,,20.39041658
1972,24.08994421,,,,,20.49538123
1973,23.25501697,,,,,20.53832271
1974,22.67821578,,,,,20.75234944
1975,22.86248644,,,,,20.94963227
1976,22.33361349,,,,,20.93176484
1977,22.73888856,,,,,20.99316405
1978,23.30397025,,,,,21.15618062
1979,23.53307441,,,,,21.32640197
1980,23.65799457,,,,,21.44506906
1981,24.16315979,,,,,21.31977514
1982,23.78022832,,,,,21.4973766
1983,23.50658046,,,,,21.11060805
1984,23.11377848,,,,,21.18640784
1985,22.22567261,,,,,21.08644185
1986,22.22639284,,,,,20.4661929
1987,22.30539583,,,,,19.94537365
1988,21.97427149,,,,,19.5227396
1989,21.77219574,,,,,19.14578721
1990,21.65120459,,,,,17.89596407
1991,21.20782948,,,,,16.9908132
1992,21.56424109,,,,,16.64420269
1993,21.03712147,,,,,15.7425266
1994,20.6288736,,,,,14.86049426
1995,20.72338859,,,,,13.99207188
1996,20.90762976,,,,,12.8844288
1997,20.94997124,,,,,11.65581167
1998,21.1454614,,,,,10.52118546
1999,20.77318369,,,,,9.124656854
2000,20.48877696,,,,,5.522427057
2001,19.79792224,,,,,11.16883843
2002,18.85915673,,,,,8.926509359
2003,17.75471826,,,,,4.502849686
2004,16.84222355,,,,,15.91361121
2005,15.44308655,,,,,
2006,13.71158226,,,,,
2007,14.01990633,,,,,
2008,15.58073028,,,,,
2009,16.01560538,,,,,
2010,14.97731059,,,,,
2011,13.28705002,,,,,
2012,11.84272058,,,,,
2013,17.85949476,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
